EventCode,LogName,"Windows_OS_Support","more_info",signature,"signature_severity",state
651,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Disabled Local Group Member Removed",LOW,NA
652,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Disabled Local Group Deleted",LOW,NA
653,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Disabled Global Group Created",LOW,NA
654,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Disabled Global Group Changed",LOW,NA
655,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Disabled Global Group Member Added",LOW,NA
656,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Disabled Global Group Member Removed",LOW,NA
657,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Disabled Global Group Deleted",LOW,NA
658,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Enabled Universal Group Created",LOW,NA
659,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Enabled Universal Group Changed",LOW,NA
660,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Enabled Universal Group Member Added",LOW,NA
661,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Enabled Universal Group Member Removed",LOW,NA
662,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Enabled Universal Group Deleted",LOW,NA
663,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Disabled Universal Group Created",LOW,NA
664,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Disabled Universal Group Changed",LOW,NA
665,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Disabled Universal Group Member Added",LOW,NA
666,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Disabled Universal Group Member Removed",LOW,NA
667,Security,"Windows (2000 XP) and Windows Server (2003)",,"Security Disabled Universal Group Deleted",LOW,NA
668,Security,"Windows (2000 XP) and Windows Server (2003)",,"Group Type Changed",LOW,NA
669,Security,"Windows (2000 XP) and Windows Server (2003)",,"Add SID History",LOW,NA
670,Security,"Windows (2000 XP) and Windows Server (2003)",,"Add SID History",LOW,NA
671,Security,"Windows (2000 XP) and Windows Server (2003)",,"User Account Unlocked",LOW,NA
672,Security,"Windows (2000 XP) and Windows Server (2003)",,"Authentication Ticket Granted",LOW,NA
673,Security,"Windows (2000 XP) and Windows Server (2003)",,"Service Ticket Granted",LOW,NA
674,Security,"Windows (2000 XP) and Windows Server (2003)",,"Ticket Granted Renewed",LOW,NA
675,Security,"Windows (2000 XP) and Windows Server (2003)",,"Pre-authentication failed",LOW,Failed
676,Security,"Windows (2000 XP) and Windows Server (2003)",,"Authentication Ticket Request Failed",LOW,NA
677,Security,"Windows (2000 XP) and Windows Server (2003)",,"Service Ticket Request Failed",LOW,NA
678,Security,"Windows (2000 XP) and Windows Server (2003)",,"Account Mapped for Logon by",LOW,NA
679,Security,"Windows (2000 XP) and Windows Server (2003)",,"The name: %2 could not be mapped for logon by: %1",LOW,NA
680,Security,"Windows (2000 XP) and Windows Server (2003)",,"Account Used for Logon by",LOW,NA
681,Security,"Windows (2000 XP) and Windows Server (2003)",,"The logon to account: %2 by: %1 from workstation: %3 failed.",LOW,Failed
682,Security,"Windows (2000 XP) and Windows Server (2003)",,"Session reconnected to winstation",LOW,NA
683,Security,"Windows (2000 XP) and Windows Server (2003)",,"Session disconnected from winstation",LOW,NA
684,Security,"Windows (2000 XP) and Windows Server (2003)",,"Set ACLs of members in administrators groups",LOW,NA
685,Security,"Windows (2000 XP) and Windows Server (2003)",,"Account Name Changed",LOW,NA
686,Security,"Windows (2000 XP) and Windows Server (2003)",,"Password of the following user accessed",LOW,NA
687,Security,"Windows (2000 XP) and Windows Server (2003)",,"Basic Application Group Created",LOW,NA
688,Security,"Windows (2000 XP) and Windows Server (2003)",,"Basic Application Group Changed",LOW,NA
689,Security,"Windows (2000 XP) and Windows Server (2003)",,"Basic Application Group Member Added",LOW,NA
690,Security,"Windows (2000 XP) and Windows Server (2003)",,"Basic Application Group Member Removed",LOW,NA
691,Security,"Windows (2000 XP) and Windows Server (2003)",,"Basic Application Group Non-Member Added",LOW,NA
